"('P1_l ', 'Nivel de Ensino')","('P1_m ', 'Área de Formação')","('P2_h ', 'Faixa salarial')","('P2_i ', 'Quanto tempo de experiência na área de dados você tem?')","('P2_g ', 'Nivel')","('P4_d_1 ', 'SQL')","('P4_d_2 ', 'R ')","('P4_d_3 ', 'Python')","('P4_d_4 ', 'C/C++/C#')","('P4_d_5 ', '.NET')","('P4_d_6 ', 'Java')","('P4_d_7 ', 'Julia')","('P4_d_8 ', 'SAS/Stata')","('P4_d_9 ', 'Visual Basic/VBA')","('P4_d_10 ', 'Scala')","('P4_d_11 ', 'Matlab')","('P4_d_12 ', 'Rust')","('P4_d_13 ', 'PHP')","('P4_d_14 ', 'JavaScript')","('P4_d_15 ', 'Não utilizo nenhuma linguagem')","('P1_b ', 'Genero')","('P1_c ', 'Cor/raca/etnia')","('P2_b ', 'Setor')","('P1_i_1 ', 'uf onde mora')","('P2_f ', 'Cargo Atual')","('P4_e ', 'Entre as linguagens listadas abaixo, qual é a que você mais utiliza no trabalho?')","('P2_o_1 ', 'Remuneração/Salário')","('P2_o_2 ', 'Benefícios')","('P2_o_3 ', 'Propósito do trabalho e da empresa')","('P2_o_4 ', 'Flexibilidade de trabalho remoto')","('P2_o_5 ', 'Ambiente e clima de trabalho')","('P2_o_6 ', 'Oportunidade de aprendizado e trabalhar com referências na área')","('P2_o_7 ', 'Plano de carreira e oportunidades de crescimento profissional')","('P2_o_8 ', 'Maturidade da empresa em termos de tecnologia e dados')","('P2_o_9 ', 'Qualidade dos gestores e líderes')","('P2_o_10 ', 'Reputação que a empresa tem no mercado')"
Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,SP,Analista de Negócios/Business Analyst,SQL,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,Sênior,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Área da Saúde,SP,Analista de Dados/Data Analyst,Python,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Estudante de Graduação,Outra opção,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,Júnior,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Parda,Telecomunicação,GO,Analista de Dados/Data Analyst,Python,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de R$ 20.001/mês a R$ 25.000/mês,Mais de 10 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,SP,Analista de Dados/Data Analyst,Python,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 25.001/mês a R$ 30.000/mês,de 7 a 10 anos,,,,,,,,,,,,,,,,,Masculino,Branca,Tecnologia/Fábrica de Software,MG,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Estudante de Graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Preta,Varejo,BA,Analytics Engineer,SQL,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 6 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Varejo,PR,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Python,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Graduação/Bacharelado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Júnior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Agronegócios,PB,Cientista de Dados/Data Scientist,Python,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de R$ 8.001/mês a R$ 12.000/mês,de 7 a 10 anos,Sênior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Feminino,Branca,Tecnologia/Fábrica de Software,SP,Analista de Negócios/Business Analyst,Não utilizo nenhuma das linguagens listadas,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
Pós-graduação,Outras Engenharias,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,SP,Analista de Negócios/Business Analyst,SQL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 3.001/mês a R$ 4.000/mês,de 3 a 4 anos,Júnior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Preta,Setor de Energia,ES,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Python,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 8.001/mês a R$ 12.000/mês,Menos de 1 ano,,,,,,,,,,,,,,,,,Masculino,Parda,Setor Público,PA,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Preta,Finanças ou Bancos,SP,Analista de Dados/Data Analyst,Python,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 16.001/mês a R$ 20.000/mês,de 1 a 2 anos,,,,,,,,,,,,,,,,,Masculino,Branca,Indústria,SP,,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,Sênior,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Masculino,Branca,Tecnologia/Fábrica de Software,PR,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estudante de Graduação,Outra opção,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Júnior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Tecnologia/Fábrica de Software,SP,Analista de Dados/Data Analyst,SQL,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Pleno,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Agronegócios,SP,Analista de Suporte/Analista Técnico,SQL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Júnior,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Varejo,SP,Analista de Dados/Data Analyst,SQL,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,Outra opção,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Setor de Energia,RJ,Analista de Negócios/Business Analyst,SQL,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Seguros ou Previdência,SP,Cientista de Dados/Data Scientist,Python,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Estudante de Graduação,Outra opção,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Júnior,,,,,,,,,,,,,,,,Masculino,Branca,Indústria,SP,Outra Opção,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,Outras Engenharias,de R$ 12.001/mês a R$ 16.000/mês,de 1 a 2 anos,,,,,,,,,,,,,,,,,Feminino,Branca,Finanças ou Bancos,MG,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Indústria,PR,Analista de Negócios/Business Analyst,SQL,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,Sênior,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Masculino,Branca,Varejo,SP,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Telecomunicação,MG,DBA/Administrador de Banco de Dados,SQL,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Júnior,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Outra Opção,RJ,Analista de Inteligência de Mercado/Market Intelligence,R,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Estudante de Graduação,Outras Engenharias,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,,,,,,,,,,,,,,,,,Masculino,Branca,Área de Consultoria,SC,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Pleno,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Finanças ou Bancos,PI,Analista de BI/BI Analyst,Python,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,Outras Engenharias,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Varejo,PE,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Tecnologia/Fábrica de Software,SP,Cientista de Dados/Data Scientist,Python,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,Sênior,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Feminino,Branca,Internet/Ecommerce,RJ,Analista de Dados/Data Analyst,Python,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Júnior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Amarela,Setor Alimentício,PR,Analista de Dados/Data Analyst,SQL,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de R$ 30.001/mês a R$ 40.000/mês,de 4 a 6 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Tecnologia/Fábrica de Software,SP,Professor/Pesquisador,Python,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 6.001/mês a R$ 8.000/mês,de 5 a 6 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,MT,Analista de Inteligência de Mercado/Market Intelligence,SQL,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Júnior,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Masculino,Branca,Varejo,RJ,Analytics Engineer,SQL,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Júnior,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Masculino,Parda,Varejo,CE,Analista de Dados/Data Analyst,SQL,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Varejo,RJ,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mestrado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Pleno,,,,,,,,,,,,,,,,Masculino,Branca,Área de Consultoria,SP,Cientista de Dados/Data Scientist,,,,,,,,,,,
Não tenho graduação formal,,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Júnior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Masculino,Branca,Finanças ou Bancos,PR,Outra Opção,Não utilizo nenhuma das linguagens listadas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Graduação/Bacharelado,Outra opção,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Parda,Tecnologia/Fábrica de Software,SP,Cientista de Dados/Data Scientist,Python,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Não tenho graduação formal,,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,Pleno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Outra Opção,SP,Outra Opção,PHP,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Tecnologia/Fábrica de Software,SP,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Júnior,,,,,,,,,,,,,,,,Masculino,Branca,Finanças ou Bancos,SP,Engenheiro de Machine Learning/ML Engineer/AI Engineer,,,,,,,,,,,
Mestrado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,de R$ 30.001/mês a R$ 40.000/mês,de 7 a 10 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Feminino,Parda,Tecnologia/Fábrica de Software,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Python,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,,,,,,,,,,,,,,,,,Masculino,Branca,Marketing,PR,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Pleno,,,,,,,,,,,,,,,,Feminino,Parda,Tecnologia/Fábrica de Software,DF,Cientista de Dados/Data Scientist,,,,,,,,,,,
Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,,,,,,,,,,,,,,,,,Masculino,Parda,Finanças ou Bancos,SP,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Júnior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Feminino,Branca,Tecnologia/Fábrica de Software,PR,Outra Opção,Não utilizo nenhuma das linguagens listadas,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Pós-graduação,Outras Engenharias,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Prefiro não informar,Finanças ou Bancos,MG,Analista de Negócios/Business Analyst,SQL,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Pleno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Feminino,Parda,Tecnologia/Fábrica de Software,SC,Analista de Dados/Data Analyst,Não utilizo nenhuma das linguagens listadas,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Júnior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Feminino,Branca,Finanças ou Bancos,SP,Analista de Negócios/Business Analyst,Não utilizo nenhuma das linguagens listadas,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Pós-graduação,Outras Engenharias,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Júnior,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Masculino,Branca,Finanças ou Bancos,RS,Analista de Dados/Data Analyst,Python,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Mestrado,Outras Engenharias,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Pleno,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Tecnologia/Fábrica de Software,SC,Analista de Negócios/Business Analyst,SQL,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Júnior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Masculino,Branca,Setor Público,PR,Outra Opção,Não utilizo nenhuma das linguagens listadas,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,Outras Engenharias,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,,,,,,,,,,,,,,,,,Masculino,Branca,Área de Consultoria,SP,,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Área de Consultoria,RJ,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Python,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 7 a 10 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Preta,Educação,SP,Cientista de Dados/Data Scientist,Python,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Sênior,,,,,,,,,,,,,,,,Masculino,Branca,Área de Consultoria,CE,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,,,,,,,,,,,,,,,,,Masculino,Branca,Educação,SP,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Pleno,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Feminino,Branca,Área de Consultoria,RS,Analista de BI/BI Analyst,R,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,Sênior,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Finanças ou Bancos,MG,Analista de Negócios/Business Analyst,SQL,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,Sênior,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Tecnologia/Fábrica de Software,RS,Analista de Dados/Data Analyst,SQL,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,Ciências Sociais,de R$ 1.001/mês a R$ 2.000/mês,de 5 a 6 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Parda,Internet/Ecommerce,ES,Analista de Dados/Data Analyst,SQL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,Outra opção,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,Júnior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Masculino,Branca,Tecnologia/Fábrica de Software,PR,Analista de Suporte/Analista Técnico,Não utilizo nenhuma das linguagens listadas,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 25.001/mês a R$ 30.000/mês,Mais de 10 anos,,,,,,,,,,,,,,,,,Masculino,Parda,Varejo,SP,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
